kbpedia-id,pref-label,alt-label,definition
CantharisFusca,,,"Cantharis fusca is a species of soldier beetle. C. fusca reaches a length of 10–15 millimetres (0.39–0.59 in). Except for parts of the head and thorax, which are red or orange, this species is completely black. The body is flat and long, with a weak exoskeleton. These beetles have long feathery antennae, and comparatively long legs. This species is common in large parts of Europe, and lives in bushes, edges of forests, and meadows. They hunt for small insects. The larvae have black hairs, and also eat small insects. They are very cold-resistant, and can be seen crawling on the snow in winter. \n*."
CantuaBuxifolia,,,"Cantua buxifolia, (/ˈkæntuːə bʌksᵻˈfoʊliə/, hispanicized spellings Cantuta, Ccantu), known as Qantu, Qantus or Qantuta (Quechua,) is a flowering plant found in the high valleys of the yungas. It is the national flower of Peru and one of two national flowers of Bolivia, the other being the patujú. The Bolivian national flower is in fact a particular variety of qantuta, the \""qantuta tricolor\"" which has red petals, a yellow floral tube and a green calyx, reflecting the colors of the national flag."
Canvasback,,,"The canvasback (Aythya valisineria) is a species of diving duck, the largest found in North America."
Capacitor,,,"This ‘class’ product category is drawn from UNSPSC, readily converted into other widely used systems. This product ‘class’ is an aggregate of capacitor. This product category corresponds to the UNSPSC code: 32121500."
Cape-Clothing,cape (clothing),cape,
Cape-Topographical,cape (topography),cape,
CapeBarrenGoose,,,"The Cape Barren goose (Cereopsis novaehollandiae) is a large goose resident in southern Australia. The species is named for Cape Barren Island, where specimens were first sighted by European explorers."
CapeDwarfChameleon,,,"The Cape dwarf chameleon (Bradypodion pumilum), is a chameleon native to the South African province of the Western Cape, where it is restricted to the region around Cape Town. As with most chameleons, its tongue is twice the length of its body and it can be shot out of its mouth using a special muscle in the jaw. This gives the chameleon the ability to catch insects some distance away."
CapeFearShiner,,,The Cape Fear shiner (Notropis mekistocholas) is a North American species of freshwater fish in the Cyprinidae family. It is endemic to the central part of the state of North Carolina in the southeastern United States and is only found in the shallow streams of the Cape Fear River basin. The fish is small and yellow with black lips and a black stripe which runs down the middle of the fish's side. This shiner is normally found in mixed schools with other minnow species. It is unique amongst its genus because it has elongated intestines that are specifically adapted to a primarily herbivorous diet. It can breed twice a year and normally lives for only two or three years in the wild. The males and females are normally similar in appearance but become different colors in the spawning season. T.
CapeFox,,,"The Cape fox (Vulpes chama), also called the cama fox or the silver-backed fox, is a small fox. It has black or silver gray fur with flanks and underside in light yellow. The tip of its tail is always black. The Cape fox tends to be 45 to 61 cm (17.5 to 24 in) long, not including a 30 to 40 cm (12 to 15.5 in) tail. It is 28 to 33 cm (11 to 13 in) tall at the shoulder, and usually weighs from 3.6 to 5 kg (7.9 to 11.0 lb)."
CapeGerbil,,,"The Cape gerbil, Gerbilliscus afra, is a species of gerbil found only in South Africa. Its natural habitats are subtropical or tropical dry shrubland and temperate desert."
CapeGreyMongoose,,,"The Cape gray mongoose (Galerella pulverulenta), also called the small gray mongoose, is a mongoose endemic to southern Africa."
CapeLion,,,"The Cape lion is possibly an extinct subspecies of lion with the taxonomic name Panthera leo melancholaitus, or a former population of Southern African lions, as in Southeast (Panthera leo krugeri) or Southwest African lions (Panthera leo bleyenberghi)."
CapeMountainZebra,,,"The Cape mountain zebra (Equus zebra zebra) is a subspecies of mountain zebra that occurs in certain mountainous regions of the Western and Eastern Cape provinces of South Africa. It is the smallest of all existing zebra species and also the most geographically restricted. Although once nearly driven to extinction, the population has now been increased by several conservation methods, and is classified as Vulnerable by the IUCN."
Capensibufo,,,Capensibufo is a small genus of true toads with only two species. The common English name is Cape toads or mountain toadlets.
CapePorcupine,,,"The Cape porcupine or South African porcupine, (Hystrix africaeaustralis), is a species of Old World porcupine native to central and southern Africa."
Caper-Plant,caper,caper,
Caper-TheCondiment,caper (food),caper,
CapeSableSeasideSparrow,,,"The Cape Sable seaside sparrow (Ammodramus maritimus mirabilis) is a subspecies of seaside sparrow endemic to southern Florida. The largest populations are found in Taylor Slough in Everglades National Park and in the Big Cypress Swamp. The species is considered endangered due to habitat loss from vegetation changes, fire, development, alteration of water flow, and hurricanes."
CapeServal,,,"The serval /ˈsɜːrvəl/ (Leptailurus serval), also known as the tierboskat, is a wild cat found in Africa. It is the sole member of the genus Leptailurus and was first described by German naturalist Johann Christian Daniel von Schreber in 1776. Eighteen subspecies are recognised. The serval is a slender, medium-sized cat that stands 54–62 cm (21–24 in) at the shoulder and weighs 9–18 kg (20–40 lb). It is characterised by a small head, large ears, a golden-yellow to buff coat spotted and striped with black, and a short, black-tipped tail. The serval has the longest legs of any cat relative to its body size."
CapeShort-EaredGerbil,,,"The Cape short-eared gerbil, Desmodillus auricularis, is a species of rodent in the family Muridae. It is the only species in the genus Desmodillus.It is found in Angola, Botswana, Namibia, and South Africa.Its natural habitats are hot deserts and temperate desert."
CapeShoveler,,,"The Cape shoveler or Cape shoveller (Anas smithii) is a species of dabbling duck of the genus Anas. It is resident in South Africa, and uncommon further north in Namibia, Botswana, Zimbabwe, southern Angola, Lesotho, Mozambique, and Zambia. This 51–53 cm long duck is non-migratory, but undertakes some local seasonal movements. It is gregarious when not breeding, and may then form large flocks. Cape shoveler can only be confused with a vagrant female northern shoveler, but is much darker and stockier than that species. The binomial name of this bird commemorates the zoologist Andrew Smith."
CapeTeal,,,The Cape teal (Anas capensis) is a 44–46 cm long dabbling duck of open wetlands in sub-Saharan Africa.
CapitalGainsTax,,,"A capital gains tax (CGT) is a tax on capital gains, the profit realized on the sale of a non-inventory asset that was purchased at a cost amount that was lower than the amount realized on the sale. The most common capital gains are realized from the sale of stocks, bonds, precious metals and property. Not all countries implement a capital gains tax and most have different rates of taxation for individuals and corporations."
CappedHeron,,,"The Capped Heron (Pilherodius pileatus) is a bird of the order pelacaniforme and the family Ardeidae. It is endemic of the neotropic and inhabits the amazonin rainforest from the center of Panama to the south of Brazil. It is the only species of the Phaenthon genera and one of the least known of the Ardeidae family. It is superficially similar to the group of the night herons, but this one is active during daytime or in the crepuscular."
Capreolinae,,,"The Capreolinae, Odocoileinae, or the New World deer are a subfamily of deer. Alternatively, they are known as the telemetacarpal deer, due to their bone structure being different from the plesiometacarpal deer subfamily Cervinae. The telemetacarpal deer maintain their distal lateral metacarpals, while the plesiometacarpal deer maintain only their proximal lateral metacarpals. The Capreolinae are believed to have originated in the Late Miocene, between 7.7 and 11.5 million years ago, in central Asia."
Capricorn-TheSign,Capricorn (sign),Capricorn,
Capricornus-Constellation,Capricorn (constellation),Capricorn,
CapriPants,,,"Capri pants (also known as Three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers. They typically come down to between knee and calf or ankle length. Capris are widely popular with people in many countries; especially in the United States, Europe, Latin America, and Asia."
Capsule-Ingestible,capsule (drug),capsule,
CapsuleContainer,capsule (container),capsule,
Captain-Rank,captain,captain,
Captorhinidae,,,"Captorhinidae (also known as cotylosaurs, root reptiles or stem reptiles) is one of the earliest and most basal reptile families, all members of which are thought to be extinct."
Capulin,,,"Prunus serotina, commonly called black cherry, wild black cherry, rum cherry, or mountain black cherry, is a woody plant species belonging to the genus Prunus. The species is widespread and common in North America and South America. Black cherry is closely related to the chokecherry (Prunus virginiana); chokecherry, however, is classified as a shrub or small tree and has smaller, less glossy leaves."
CAR-15,,,"The Colt Automatic Rifle-15 Military Weapons System or CAR-15 was a family of the AR-15 and M16 rifle–based firearms marketed by Colt in the late 1960s and early 1970s. Due to their compact size, the short-barreled Colt Commando and XM177 versions of this family continued to be issued to the U.S. military after the Vietnam War. Specifically, \""Colt Commando\"" currently refers to the ultrashort 11.5-inch (290 mm) barrel assault rifle of the Model 733 series. By comparison, the M4 Carbine has a 14.5-inch (370 mm) barrel, while the M16 assault rifle series has a 20-inch (510 mm) barrel."
Caracal,,,"The caracal (Caracal caracal) is a medium-sized wild cat that lives in Africa, the Middle East, Persia and the Indian subcontinent. It reaches 40–50 centimetres (16–20 in) at the shoulder, and weighs 8–18 kilograms (18–40 lb). The coat is uniformly reddish tan or sandy, while the ventral parts are lighter with small reddish markings. The caracal is characterised by a robust build, long legs, a short face, long tufted ears, and long canine teeth. It was first described by German naturalist Johann Christian Daniel von Schreber in 1777. Eight subspecies are recognised."
Caravan,caravan,caravan,
Caravan-Event,caravan (trip),,"A caravan (from Persian: کاروان‎) is a group of people traveling together, often on a trade expedition. Caravans were used mainly in desert areas and throughout the Silk Road, where traveling in groups aided in defense against bandits as well as helping to improve economies of scale in trade."
Carbamazepine,,,"Carbamazepine (CBZ), sold under the tradename Tegretol among others, is a medication used primarily in the treatment of epilepsy and neuropathic pain. For seizures it works as well as phenytoin and valproate. It is not effective for absence seizures or myoclonic seizures. It may be used in schizophrenia along with other medications and as a second line agent in bipolar disorder. It is taken two to four times per day. A controlled release formulation is available for which there is tentative evidence showing fewer side effects."
Carbon,,,"The collection of all pieces or quantities of pure carbon. Carbon is a NonMetallicElementType and #$OrganismConstituentType. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for carbon. This product category corresponds to the UNSPSC code: 12141908."
CarbonInPulp,,,"Carbon in Pulp (CIP) is an extraction technique for recovery of gold which has been liberated into a cyanide solution as part of the gold cyanidation process. Introduced in the early 1980s, Carbon in Pulp is regarded as a simple and cheap process. As such it is used in most industrial applications where the presence of competing silver or copper does not prohibit its use."
CarbonMonoxide,,,"A chemical compound. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for carbon monoxide. This product category corresponds to the UNSPSC code: 12142108."
CarbonMonoxidePoisoning,,,"Carbon monoxide poisoning occurs after too much inhalation of carbon monoxide (CO). Carbon monoxide is a toxic gas, but, being colorless, odorless, tasteless, and initially non-irritating, it is very difficult for people to detect. Carbon monoxide is a product of incomplete combustion of organic matter due to insufficient oxygen supply to enable complete oxidation to carbon dioxide (CO2). It is often produced in domestic or industrial settings by motor vehicles that run on gasoline, diesel, methane, or other carbon-based fuels and from tools, gas heaters, and cooking equipment that are powered by carbon-based fuels such as propane, butane and charcoal. Exposure at 100 ppm or greater can be dangerous to human health."
CarbonNanotube,carbon nanotube,,
CarbonSink,,,"A carbon sink is a natural or artificial reservoir that accumulates and stores some carbon-containing chemical compound for an indefinite period. The process by which carbon sinks remove carbon dioxide (CO2) from the atmosphere is known as carbon sequestration. Public awareness of the significance of CO2 sinks has grown since passage of the Kyoto Protocol, which promotes their use as a form of carbon offset. There are also different strategies used to enhance this process."
CarbonylSulfide,,,"Carbonyl sulfide is the organic compound with the formula OCS. Commonly written as COS, it is a colourless flammable gas with an unpleasant odor. It is a linear molecule consisting of a carbonyl group double bonded to a sulfur atom. Carbonyl sulfide can be considered to be intermediate between carbon dioxide and carbon disulfide, both of which are valence isoelectronic with it. Carbonyl sulfide decomposes in the presence of humidity and bases to carbon dioxide and hydrogen sulfide."
CarboxymethylCellulose,,,"Carboxymethyl cellulose (CMC) or cellulose gum is a cellulose derivative with carboxymethyl groups (-CH2-COOH) bound to some of the hydroxyl groups of the glucopyranose monomers that make up the cellulose backbone. It is often used as its sodium salt, sodium carboxymethyl cellulose."
Carcharhiniformes,,,"Carcharhiniformes, the ground sharks, with over 270 species, are the largest order of sharks. They include a number of common types, such as catsharks, swellsharks, and the sandbar shark. "
CarcinogenType,,,"A carcinogen is any substance, radionuclide, or radiation that is an agent directly involved in causing cancer. This may be due to the ability to damage the genome or to the disruption of cellular metabolic processes. Several radioactive substances are considered carcinogens, but their carcinogenic activity is attributed to the radiation, for example gamma rays and alpha particles, which they emit."
CardinalBeetle,,,"The name cardinal beetle typically refers to three different species of beetles. The red-headed or 'common' cardinal beetle (Pyrochroa serraticornis) is a red to orange beetle with, as the name suggests, a red head. It is about 20 mm long, and is found throughout Britain. The rarer black-headed cardinal beetle (P. coccinea), similarly found at sites across Britain, is larger and a deeper blood red. The scarce cardinal beetle (Schizotus pectinicornis) also has a black head, but is smaller at around 9 mm long. The scarce cardinal is only found at a few sites in Scotland and Wales."
CardinalWoodpecker,,,The cardinal woodpecker (Dendropicos fuscescens) is a widespread and common resident breeder in much of sub-Saharan Africa. It is a species found in a wide range of habitats from dense forest to thorn bush.
Cardiology,,,"Medical services and study relating to heart health. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for cardiology service. This product category corresponds to the UNSPSC code: 85121603."
CardiotoxinIII,,,"Cardiotoxin III (CTX III, also known as cytotoxin 3) is a sixty amino-acid polypeptide toxin from the Taiwan Cobra Naja naja atra. Recent evidence has shown that CTX III may induce apoptosis in K562 cells via the release of cytochrome c. This protein belongs to large family of snake venom toxins."
CardiovascularMorbidity,,,Death due to cardiovascular causes.
Cardiovirus,,,A genus of viruses.
CardTable,,,"The collection of all card tables. A type of FoldingTable. CardTable is a SpatiallyDisjointObjectType. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for card table. This product category corresponds to the UNSPSC code: 48121202."
Caregiving,caregiving,attention,
Caretaker,,,"In association footballing terms, a caretaker manager is somebody who takes temporary charge of the management of a football club, usually when the regular manager is dismissed, or leaves for a different club. However, a caretaker may also be appointed if the regular manager is ill or unable to attend to their usual duties. Caretaker managers are normally appointed at short notice from within the club, usually the assistant manager, a senior coach, or an experienced player. In other sports, the term \""interim manager\"" is more commonly used."
Carfentanil,,,"Carfentanil or carfentanyl (also known as 4-carbomethoxyfentanyl) is an analog of the synthetic opioid analgesic fentanyl. It was found to be four orders of magnitude or 10,000 times more potent than morphine, making it one of the most potent known and the most potent commercially used opioids. Carfentanil was first synthesized in 1974 by a team of chemists at Janssen Pharmaceutica which included Paul Janssen. It is marketed under the trade name Wildnil as a general anaesthetic agent for large animals."
CargoTruck,,,"The collection of all cargo trucks. A type of Truck and Platform_Military. CargoTruck is a SpatiallyDisjointObjectType. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for cargo truck. This product category corresponds to the UNSPSC code: 25101611."
CaribbeanFlamingo,,,"The American flamingo (Phoenicopterus ruber) is a large species of flamingo closely related to the greater flamingo and Chilean flamingo. It was formerly considered conspecific with the greater flamingo, but that treatment is now widely viewed (e.g. by the American and British Ornithologists' Unions) as incorrect due to a lack of evidence. It is also known as the Caribbean flamingo although it is present in the Galápagos Islands. In Cuba it is also known as the Greater Flamingo. It is the only flamingo that naturally inhabits North America."
CaribbeanMonkSeal,,,"The Caribbean monk seal, West Indian seal or sea wolf (as early explorers referred to it), Neomonachus tropicalis (formerly Monachus tropicalis), was a species of seal native to the Caribbean and is now believed to be extinct. The Caribbean monk seals' main predators were sharks and humans. Overhunting of the seals for oil, and overfishing of their food sources, are the established reasons for the seals' extinction. The last confirmed sighting of the Caribbean Monk Seal was in 1952 at Serranilla Bank, between Jamaica and Nicaragua. In 2008 the species was officially declared extinct in the United States of America after an exhaustive search for the seals which lasted for about five years. This analysis was conducted by the National Oceanic and Atmospheric Administration and the National Ma."
CaribbeanReefSquid,,,"Caribbean reef squid (Sepioteuthis sepioidea), commonly called reef squid, are small 20 cm (7.9 in) torpedo-shaped squid with undulating fins that extend nearly the entire length of the body. In 2001, marine biologist Silvia Maciá discovered that squid were able to propel themselves up out of the water about 2 m (6.6 ft) and fly approximately 10 m (33 ft) before re-entry; a discovery which led to the identification of six species of flying squid."
CaribbeanRegion,the Caribbean region,the Caribbean,
CaribLanguage,Carib language,Carib,
Caridae,,,"Caridae is a small Gondwanan family of weevils. They are considered part of the primitive weevil group, because they have straight rather than elbowed antennae. The insertion of the antennae on the rostrum cannot be seen from above. Caridae also lack spiracles on abdominal tergites 6 and 7. The prothorax lacks lateral carinae. It has been suggested that the fossil weevil Eccoptarthrus belongs in this family, which would result in a change in the family name (as \""Eccoptarthridae\"" would have seniority); this proposal has been rejected by most coleopterists (e.g.)."
Caridina,,,A genus of crustaceans.
CaridinaMultidentata,,,"Caridina multidentata is a species of shrimp in the family Atyidae. It is native to Japan and Taiwan. Its common names include Yamato shrimp, Japanese shrimp, Amano's shrimp, and algae shrimp."
Carinatogecko,,,Mediodactylus is a genus of Gekkonidae (gecko) family.
Carnidae,,,A family of insects.
Carnitine,,,"Carnitine is an amino acid derivative and nutrient involved in lipid (fat) metabolism in mammals and other eukaryotes. It is in the chemical compound classes of β-hydroxyacids and quaternary ammonium compounds, and because of the hydroxyl-substituent, it exists in two stereoisomers, the biologically active enantiomer L-carnitine (R form), and the essentially biologically inactive D-carnitine. Both are available through chemical synthesis, and the L-form is continuously biosynthesized in eukaryotic organisms from the proteinogenic amino acids lysine and methionine. In such eukaryotic cells, it is specifically required for the transport of fatty acids from the intermembraneous space in the mitochondria into the mitochondrial matrix during the catabolism of lipids, in the generation of metabo."
Carnivoramorpha,,,Carnivoramorpha are a clade of mammals that includes the modern order Carnivora.
Carnivore,,,"A carnivore /ˈkɑːrnɪvɔər/ meaning 'meat eater' (Latin, caro meaning 'meat' or 'flesh' and vorare meaning 'to devour') is an organism that derives its energy and nutrient requirements from a diet consisting mainly or exclusively of animal tissue, whether through predation or scavenging. Animals that depend solely on animal flesh for their nutrient requirements are called obligate carnivores while those that also consume non-animal food are called facultative carnivores. Omnivores also consume both animal and non-animal food, and apart from the more general definition, there is no clearly defined ratio of plant to animal material that would distinguish a facultative carnivore from an omnivore. A carnivore that sits at the top of the food chain is termed an apex predator."
CarnivorousPlant,,,"Carnivorous plants are plants that derive some or most of their nutrients (but not energy) from trapping and consuming animals or protozoans, typically insects and other arthropods. Carnivorous plants have adapted to grow in places where the soil is thin or poor in nutrients, especially nitrogen, such as acidic bogs and rock outcroppings."
Carnoidea,,,Carnoidea are a superfamily of Acalyptratae flies.
CarnusHemapterus,,,"Carnus hemapterus is a Dipteran insect, a small-bodied and mostly black-coloured carnid fly. In general, larvae of most carnid flies are detritivores, while the imagines are often seen feeding on carcasses, faeces, or umbelliferous flowers. \n* Barn owl, heavily spotted. \n* Barn owl, medium coloration. \n* Barn owl, weakly spotted."
CarolinaHeelsplitter,,,"The Carolina heelsplitter, scientific name Lasmigona decorata, is a species of freshwater mussel, an aquatic bivalve mollusk in the family Unionidae. It is named the \""Carolina heelsplitter\"" because in life the sharp edge of the valves protrudes from the substrate and could cut the foot of someone walking on the river or stream bed. This species is endemic to the United States and is found in only North Carolina and South Carolina."
CarolinaMantis,,,"The Carolina mantis (Stagmomantis carolina) is a species of praying mantis of the subfamily Stagmomantinae. Sexual cannibalism occurs in roughly one quarter of all intersexual encounters of this species, though specimens of this species will engage in cannibalism regardless of age or gender if the opportunity presents itself. Carolina mantis oothecae can be purchased in garden supply centers as a means of biological control of pest insects. It is the state insect of South Carolina."
CarolinaParakeet,,,"The Carolina parakeet (Conuropsis carolinensis) or Carolina conure was a small green neotropical parrot with a bright yellow head, reddish orange face and pale beak native to the eastern, midwest and plains states of the United States and was the only indigenous parrot within its range. It was found from southern New York and Wisconsin to Kentucky, Tennessee and the Gulf of Mexico, from the Atlantic seaboard to as far west as eastern Colorado. It lived in old-growth forests along rivers and in swamps. It was called puzzi la née (\""head of yellow\"") or pot pot chee by the Seminole and kelinky in Chickasaw. Though formerly prevalent within its range, the bird had become rare by the middle of the 19th century. The last confirmed sighting in the wild was of the ludovicianus subspecies in 1910. T."
Carolliinae,,,Carolliinae is a subfamily of bats.
Carpaine,,,"Carpaine is one of the major alkaloid components of papaya leaves which has been studied for its cardiovascular effects. Circulatory effects of carpaine were studied in Wistar male rats weighing 314 +/- 13 g, under pentobarbital (30 mg/kg) anesthesia. Increasing dosages of carpaine from 0.5 mg/kg to 2.0 mg/kg resulted in progressive decrease in systolic, diastolic, and mean arterial blood pressure. Selective autonomic nervous blockade with atropine sulfate (1 mg/kg) or propranolol hydrochloride (8 mg/kg) did not alter the circulatory response to carpaine. Carpaine, 2 mg/kg, reduced cardiac output, stroke volume, stroke work, and cardiac power, but the calculated total peripheral resistance remained unchanged. It is concluded from these results that carpaine affects the myocardium directly."
CarpathianNewt,,,"The Carpathian newt, or Montadon's newt, (Lissotriton montandoni) is a species of salamander in the family Salamandridae found in Czech Republic, Poland, Romania, Slovakia, and Ukraine. The total length of adults of this species is around 10 cm. Its natural habitats are temperate forests, rivers, intermittent rivers, freshwater marshes, intermittent freshwater marshes, arable land, pastureland, rural gardens, and ponds. It is threatened by habitat loss."
Carpentaria,,,"Carpentaria acuminata (Carpentaria Palm), the sole species in the genus Carpentaria, is a palm native to tropical coastal regions in the north of Northern Territory, Australia. It is a slender palm, growing to 20 m tall in the garden situation, with a trunk 12-15 cm diameter. The leaves are pinnate, 3-4 m long. However, in its natural rainforest location such as at Fogg Dam Monsoon Forest 70 km east of Darwin, specimens often exceed 30 metres in height. It is a popular ornamental plant in northern Australia, valued for its rapid growth and very elegant foliage. In recent years, particularly in the capital of the Northern Territory, Darwin, the maturation of gardens after their destruction during Cyclone Tracy in 1974, has resulted in many thousands of specimens of these local palms reachin."
Carpentry,,,"Carpentry is a skilled trade in which the primary work performed is the cutting, shaping and installation of building materials during the construction of buildings, ships, timber bridges, concrete formwork, etc. Carpenters traditionally worked with natural wood and did the rougher work such as framing, but today many other materials are also used and sometimes the finer trades of cabinetmaking and furniture building are considered carpentry. This ‘class’ product category is drawn from UNSPSC, readily converted into other widely used systems. This product ‘class’ is an aggregate of carpentry service. This product category corresponds to the UNSPSC code: 72152300."
CarpetSharks,,,"Carpet sharks are sharks classified in the order Orectolobiformes. Sometimes the common name \""carpet shark\"" (named so because many species resemble ornately patterned carpets) is used interchangeably with \""wobbegong\"", which is the common name of sharks in the family Orectolobidae. Carpet sharks have five gill slits, two spineless dorsal fins, and a small mouth that does not extend past the eyes. Many species have barbels."
Carphodactylus,,,"Carphodactylus laevis is a species, in a monotypic genus, of Australian gecko, also known as the Chameleon Gecko."
CarpoMetaCarpalJoint-Basic,,,"The carpometacarpal (CMC) joints are five joints in the wrist that articulate the distal row of carpal bones and the proximal bases of the five metacarpal bones. The CMC of the thumb or the first CMC, also known as the trapeziometacarpal joint (TMC), differs significantly from the other four CMCs and is therefore described separately."
Carposinidae,,,A family of insects.
CarRaceTrack,speedway (track),speedway,
CarRacingFacility,speedway (facility),speedway,
Carrot,carrot,carrots,"This ‘class’ product category is drawn from UNSPSC, readily converted into other widely used systems. This product ‘class’ is an aggregate of carrot. This product category corresponds to the UNSPSC code: 50402500."
Carrot-Foodstuff,carrot (food),carrot,
CarrotFly,,,"The carrot fly (Chamaepsila rosae) is a pest of gardens and farms, and mainly affects the crop of carrots, but can also attack parsnips, parsley and celery. It is a member of the family Psilidae (order Diptera)."
CarryStrap,carry strap,,
Cartridge,,,"A cartridge is a type of pre-assembled firearm ammunition packaging a projectile (bullet, shots or slug), a propellant substance (usually either smokeless powder or black powder) and an ignition device (primer) within a metallic, paper or plastic case that is precisely made to fit within the barrel chamber of a breechloading gun, for the practical purpose of convenient transportation and handling during shooting."
Caryophanaceae,,,"The Caryophanaceae are a family of Gram-positive bacteria. Only one genus, Caryophanon, is represented by this family. It is found in cow dung."
CASAC-212Aviocar,,,"The CASA C-212 Aviocar is a turboprop-powered STOL medium transport aircraft designed and built by CASA in Spain for civil and military use. C-212s are also produced under licence in Indonesia by Indonesian Aerospace (IAe), formerly called IPTN. The design was initially marketed under the name of Aviocar, but EADS-CASA no longer uses that name in referring to the C-212."
CashHoldings,,,A holding or storehouse of cash.
CaspianRedDeer,,,"The Caspian red deer (Cervus elaphus maral), is one of the easternmost subspecies of red deer that is native to areas between the Black Sea and Caspian Sea such as Crimea, Asia Minor, the Caucasus Mountains region bordering Europe and Asia, and along the Caspian Sea region in Iran. The Caspian red deer is sometimes referred to as maral, noble deer, or eastern red deer."
CaspianSeal,,,"The Caspian seal (Pusa caspica) is one of the smallest members of the earless seal family and unique in that it is found exclusively in the brackish Caspian Sea. They are found not only along the shorelines, but also on the many rocky islands and floating blocks of ice that dot the Caspian Sea. In winter, and cooler parts of the spring and autumn season, these marine mammals populate the Northern Caspian. As the ice melts in the warmer season, they can be found on the mouths of the Volga and Ural Rivers, as well as the southern latitudes of the Caspian where cooler waters can be found due to greater depth."
CaspianTiger,,,"The Caspian tiger (Panthera tigris virgata), also known as the Hyrcanian tiger, the Mazandaran tiger, the Persian tiger and the Turanian tiger, is thought to be an extinct tiger subspecies that had been recorded in the wild before the end of the 20th century, and formerly inhabited the sparse forest habitats and riverine corridors west and south of the Caspian Sea, from Turkey, Iran and east through Central Asia into the Takla Makan desert of Xinjiang, China. Projects for restoration in these countries are underway with the Amur tiger. Their diet probably consisted of mainly wild pigs and deer, and to a lesser extent horses and jungle cats. The Caspian tiger was one of the biggest cats to have ever lived."
Cassava,cassava,cassava,
Cassava-Foodstuff,cassava (food),cassava,
CassetteDeck,,,"A collection of audio components. Each cassette deck is a non-portable device used for playing and recording audio cassettes. It is generally used in an audio rack or audio cabinet in conjuntion with a receiver or amplifier and stereo speakers or headphones. It is generally connected to an electric wall outlet for power and to an audio amplifier for sound input and output. This ‘commodity’ product category is drawn from UNSPSC, readily converted into other widely used systems. This commodity category is for cassette deck. This product category corresponds to the UNSPSC code: 45111722."
CassiaArtensis,,,Cassia artensis is a species of legume in the Fabaceae family.It is found only in New Caledonia.
Cassiopea,,,A genus of cnidarians.
Cassowary,,,"The cassowaries (/ˈkæsəwɛəri/) are ratites (flightless birds without a keel on their sternum bone) in the genus Casuarius and are native to the tropical forests of New Guinea (Papua New Guinea and Indonesia), nearby islands, and northeastern Australia. There are three extant species. The most common of these, the southern cassowary, is the third-tallest and second-heaviest living bird, smaller only than the ostrich and emu."
CastilianLanguage,Castilian language,Castilian,
Castilleja,,,"Castilleja, commonly known as Indian paintbrush or prairie-fire, is a genus of about 200 species of annual and perennial herbaceous plants native to the west of the Americas from Alaska south to the Andes, northern Asia, and one species as far west as the Kola Peninsula in northwestern Russia."
Castniidae,,,A family of insects.
Castoridae,,,"The family Castoridae contains the two living species of beavers and their fossil relatives. This was once a highly diverse group of rodents, but is now restricted to a single genus, Castor."
Castorimorpha,,,"Castorimorpha is the suborder of rodents containing the beavers, the pocket gophers, and the kangaroo rats and mice."
Casuariidae,,,A monotypic taxon.
CataboliteActivatorProtein,,,"Catabolite Activator Protein (CAP; also known as cAMP receptor protein, CRP) is a transcriptional activator that exists as a homodimer in solution, with each subunit comprising a ligand-binding domain at the N-terminus (CAPN, residues 1-138), which is also responsible for the dimerization of the protein, and a DNA-binding domain at the C-terminus (DBD, residues 139-209). Two cAMP (cyclic AMP) molecules bind dimeric CAP with negative cooperativity and function as allosteric effectors by increasing the protein's affinity for DNA. Cytosolic cAMP levels rise when the amount of glucose transported into the cell is low."
CatalanLanguage,Catalan language,Catalan,
CatalanSheepdog,,,"The  Catalan sheepdog (Catalan: Gos d'atura català, Spanish: Pastor catalán) is a breed of Catalan pyrenean dog used as a sheepdog. This dog is bred in Europe, especially in Spain, Finland, Germany, and Sweden."
Catalog,catalog,catalogue||catalogs||catalogues,A book printed periodically by an authoritative source that provides definitive descriptions or listings.
CatalogCopy,catalogue (copy),catalogue,
Catalpa,,,"Catalpa, commonly called catalpa or catawba, is a genus of flowering plants in the family Bignoniaceae, native to warm temperate and subtropical regions of North America, the Caribbean, and East Asia. "
Catechin,,,"Catechin /ˈkætᵻtʃɪn/ is a flavan-3-ol, a type of natural phenol and antioxidant. It is a plant secondary metabolite. It belongs to the group of flavan-3-ols (or simply flavanols), part of the chemical family of flavonoids. The name of the catechin chemical family derives from catechu, which is the tannic juice or boiled extract of Mimosa catechu (Acacia catechu L.f)."
Categorizing,,,"Categorization is the process in which ideas and objects are recognized, differentiated, and understood. Categorization implies that objects are grouped into categories, usually for some specific purpose. Ideally, a category illuminates a relationship between the subjects and objects of knowledge. Categorization is fundamental in language, prediction, inference, decision making and in all kinds of environmental interaction. It is indicated that categorization plays a major role in computer programming. \n*  Classical categorization \n*  Conceptual clustering \n*  Prototype theory."
